strain	taxonomyId	accession	isRef	level	chromosomeCount	length	scaffoldCount	scaffoldN50	scaffoldL50	coverage	gcPercent	annotationStatus	pairedAccession	species	speciesTaxonomyId	lineageTaxonomyIds	taxonomicGroup	taxonomicLevelDomain	taxonomicLevelRealm	taxonomicLevelKingdom	taxonomicLevelPhylum	taxonomicLevelClass	taxonomicLevelOrder	taxonomicLevelFamily	taxonomicLevelGenus	taxonomicLevelSpecies	taxonomicLevelStrain	ucscBrowser	genBank	refSeq	geneModelUrl
EC2	989654	GCA_000221265.2	False	Contig		2281231				300.0x	47.0			Encephalitozoon cuniculi	6035	1,131567,2759,33154,4751,112252,6029,6032,36734,6033,6035,989654	Microsporidia	Eukaryota		Fungi	Microsporidia			Unikaryonidae	Encephalitozoon	Encephalitozoon cuniculi	Encephalitozoon cuniculi EC2	https://genome.ucsc.edu/h/GCA_000221265.2	GCA_000221265.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/221/265/GCA_000221265.2/genes/GCA_000221265.2_Ence_cuni_EC2_V1.augustus.gtf.gz
EC1	986730	GCA_000221285.2	False	Contig		2288106				438.0x	47.0			Encephalitozoon cuniculi	6035	1,131567,2759,33154,4751,112252,6029,6032,36734,6033,6035,986730	Microsporidia	Eukaryota		Fungi	Microsporidia			Unikaryonidae	Encephalitozoon	Encephalitozoon cuniculi	Encephalitozoon cuniculi EC1	https://genome.ucsc.edu/h/GCA_000221285.2	GCA_000221285.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/221/285/GCA_000221285.2/genes/GCA_000221285.2_Ence_cuni_EC1_V1.augustus.gtf.gz
EC3	989655	GCA_000221245.2	False	Contig		2264695				573.0x	47.0			Encephalitozoon cuniculi	6035	1,131567,2759,33154,4751,112252,6029,6032,36734,6033,6035,989655	Microsporidia	Eukaryota		Fungi	Microsporidia			Unikaryonidae	Encephalitozoon	Encephalitozoon cuniculi	Encephalitozoon cuniculi EC3	https://genome.ucsc.edu/h/GCA_000221245.2	GCA_000221245.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/221/245/GCA_000221245.2/genes/GCA_000221245.2_Ence_cuni_EC3_V1.augustus.gtf.gz
Pb03	482561	GCA_000150475.2	False	Scaffold		29062735	65.0	1882376.0	6.0	150.0x	44.5			Paracoccidioides brasiliensis	121759	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,299071,38946,121759,482561	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Paracoccidioides	Paracoccidioides brasiliensis	Paracoccidioides brasiliensis Pb03	https://genome.ucsc.edu/h/GCA_000150475.2	GCA_000150475.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/475/GCA_000150475.2/genes/GCA_000150475.2_Paracocci_br_Pb03_V2.augustus.gtf.gz
IL3000	1068625	GCA_000227395.2	False	Scaffold		18805544	2824.0	8978.0	593.0		47.5			Trypanosoma congolense	5692	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,5690,47569,5692,1068625	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Trypanosoma	Trypanosoma congolense	Trypanosoma congolense IL3000	https://genome.ucsc.edu/h/GCA_000227395.2	GCA_000227395.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/227/395/GCA_000227395.2/genes/GCA_000227395.2_ASM22739v2.augustus.gtf.gz
UAMH 11346	1262450	GCA_000410735.1	False	Scaffold		32840360	45.0	1451997.0	8.0	735.0x	53.5			Ophiostoma piceae	61273	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222544,5151,5152,5159,61273,1262450	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Ophiostoma	Ophiostoma piceae	Ophiostoma piceae UAMH 11346	https://genome.ucsc.edu/h/GCA_000410735.1	GCA_000410735.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/410/735/GCA_000410735.1/genes/GCA_000410735.1_Opiceae_UAMHv01.augustus.gtf.gz
DAOM BR484	1223560	GCA_000387545.2	False	Scaffold		33844883	3685.0	29235.0	340.0	78.0x	59.0			Phytopythium vexans	907947	1,131567,2759,2698737,33634,4762,121069,4782,795339,907947,1223560	Oomycota	Eukaryota			Oomycota		Pythiales	Pythiaceae	Phytopythium	Phytopythium vexans	Phytopythium vexans DAOM BR484	https://genome.ucsc.edu/h/GCA_000387545.2	GCA_000387545.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/387/545/GCA_000387545.2/genes/GCA_000387545.2_pve_scaffolds_v1.augustus.gtf.gz
DAOM BR650	1223559	GCA_000387525.2	False	Scaffold		37631444	5482.0	19114.0	549.0	75.0x	52.0			Globisporangium ultimum	2052682	1,131567,2759,2698737,33634,4762,121069,4782,1448052,2052682,115421,1223559	Oomycota	Eukaryota			Oomycota		Pythiales	Pythiaceae	Globisporangium	Globisporangium ultimum	Globisporangium ultimum var. sporangiiferum BR650	https://genome.ucsc.edu/h/GCA_000387525.2	GCA_000387525.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/387/525/GCA_000387525.2/genes/GCA_000387525.2_pug3_scaffolds_v1.augustus.gtf.gz
PYCC 5710	1097556	GCA_000312925.2	False	Scaffold		13364053	394.0	71906.0	61.0		49.5			Taphrina deformans	5011	1,131567,2759,33154,4751,451864,4890,451866,147555,5008,5009,5010,5011,1097556	Ascomycota	Eukaryota		Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	Taphrina deformans	Taphrina deformans PYCC 5710	https://genome.ucsc.edu/h/GCA_000312925.2	GCA_000312925.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/312/925/GCA_000312925.2/genes/GCA_000312925.2_ASM31292v2.augustus.gtf.gz
20.1	1111077	GCA_000347355.1	False	Scaffold		32091443	191.0	433221.0	25.0		52.0			Claviceps purpurea	5111	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,34397,5110,5111,1111077	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Claviceps	Claviceps purpurea	Claviceps purpurea 20.1	https://genome.ucsc.edu/h/GCA_000347355.1	GCA_000347355.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/347/355/GCA_000347355.1/genes/GCA_000347355.1_ASM34735v1.augustus.gtf.gz
CBS 112818	647933	GCA_000151455.1	False	Scaffold		22964077	110.0	364603.0	20.0		48.0			Trichophyton tonsurans	34387	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,34384,5550,34387,647933	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton tonsurans	Trichophyton tonsurans CBS 112818	https://genome.ucsc.edu/h/GCA_000151455.1	GCA_000151455.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/151/455/GCA_000151455.1/genes/GCA_000151455.1_ASM15145v1.augustus.gtf.gz
MHOM/COL/81/L13	1295824	GCA_000340495.1	False	Scaffold		31263945	952.0	156905.0	62.0	42.0x	57.5			Leishmania panamensis	5679	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,1286322,5658,37616,38579,5679,1295824	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania	Leishmania panamensis	Leishmania panamensis MHOM/COL/81/L13	https://genome.ucsc.edu/h/GCA_000340495.1	GCA_000340495.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/340/495/GCA_000340495.1/genes/GCA_000340495.1_Leishmania_panamensis_L13-1.3.1.augustus.gtf.gz
DAOM BR486	1223557	GCA_000387425.2	False	Scaffold		42968084	5887.0	23217.0	494.0	72.0x	54.0			Globisporangium irregulare	36331	1,131567,2759,2698737,33634,4762,121069,4782,1448052,36331,1223557	Oomycota	Eukaryota			Oomycota		Pythiales	Pythiaceae	Globisporangium	Globisporangium irregulare	Globisporangium irregulare DAOM BR486	https://genome.ucsc.edu/h/GCA_000387425.2	GCA_000387425.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/387/425/GCA_000387425.2/genes/GCA_000387425.2_pir_scaffolds_v1.augustus.gtf.gz
42_110	1358809	GCA_000430065.1	False	Contig		4980876				70.0x	23.5			Spraguea lophii	51541	1,131567,2759,33154,4751,112252,6029,6032,227310,51540,51541,1358809	Microsporidia	Eukaryota		Fungi	Microsporidia			Spragueidae	Spraguea	Spraguea lophii	Spraguea lophii 42_110	https://genome.ucsc.edu/h/GCA_000430065.1	GCA_000430065.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/430/065/GCA_000430065.1/genes/GCA_000430065.1_Sprlop1.0.augustus.gtf.gz
ERTm3	935791	GCA_000190615.1	False	Scaffold		4147597	53.0	567515.0	3.0	60.0x	34.5			Nematocida parisii	586133	1,131567,2759,33154,4751,112252,6029,469895,586132,586133,935791	Microsporidia	Eukaryota		Fungi	Microsporidia				Nematocida	Nematocida parisii	Nematocida parisii ERTm3	https://genome.ucsc.edu/h/GCA_000190615.1	GCA_000190615.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/190/615/GCA_000190615.1/genes/GCA_000190615.1_Nema_parisii_ERTm3_V1.augustus.gtf.gz
E277	1035635	GCA_000225285.2	False	Contig		46723035				27.7x	45.0			Epichloe glyceriae	79591	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,34397,5112,79591,1035635	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Epichloe	Epichloe glyceriae	Epichloe glyceriae E277	https://genome.ucsc.edu/h/GCA_000225285.2	GCA_000225285.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/225/285/GCA_000225285.2/genes/GCA_000225285.2_EpiGly_1.0.augustus.gtf.gz
DAOM BR242034	1223558	GCA_000387465.2	False	Scaffold		43199174	11541.0	11008.0	1107.0	70.0x	55.0			Globisporangium iwayamae	115417	1,131567,2759,2698737,33634,4762,121069,4782,1448052,115417,1223558	Oomycota	Eukaryota			Oomycota		Pythiales	Pythiaceae	Globisporangium	Globisporangium iwayamae	Globisporangium iwayamae DAOM BR242034	https://genome.ucsc.edu/h/GCA_000387465.2	GCA_000387465.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/387/465/GCA_000387465.2/genes/GCA_000387465.2_piw_scaffolds_v1.augustus.gtf.gz
PRA109	1240240	GCA_000385855.2	False	Scaffold		17534931	7113.0	5047.0	919.0	341.0x	23.0			Anncaliia algerae	723287	1,131567,2759,33154,4751,112252,6029,2072739,307623,311453,723287,1240240	Microsporidia	Eukaryota		Fungi	Microsporidia			Tubulinosematidae	Anncaliia	Anncaliia algerae	Anncaliia algerae PRA109	https://genome.ucsc.edu/h/GCA_000385855.2	GCA_000385855.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/385/855/GCA_000385855.2/genes/GCA_000385855.2_Annc_alge_PRA109_V4.augustus.gtf.gz
	723287	GCA_000313815.1	False	Contig		13823425					25.5			Anncaliia algerae	723287	1,131567,2759,33154,4751,112252,6029,2072739,307623,311453,723287	Microsporidia	Eukaryota		Fungi	Microsporidia			Tubulinosematidae	Anncaliia	Anncaliia algerae		https://genome.ucsc.edu/h/GCA_000313815.1	GCA_000313815.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/313/815/GCA_000313815.1/genes/GCA_000313815.1_ASM31381v1.augustus.gtf.gz
JCM 2334	100951	GCA_001599735.1	True	Scaffold		20697359	74.0	975819.0	9.0	277.0x	54.0			Naganishia albida	100951	1,131567,2759,33154,4751,451864,5204,5302,155616,90886,5408,1851509,100951	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia albida		https://genome.ucsc.edu/h/GCA_001599735.1	GCA_001599735.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/001/599/735/GCA_001599735.1/genes/GCA_001599735.1_JCM_2334_assembly_v001.augustus.gtf.gz
UAMH 9510	1447872	GCA_001883825.1	True	Scaffold		32410993	1643.0	45890.0	200.0	88.0x	44.5			Emergomyces pasteurianus	1955774	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,299071,1955773,1955774,1447872	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Emergomyces	Emergomyces pasteurianus	Emergomyces pasteurianus Ep9510	https://genome.ucsc.edu/h/GCA_001883825.1	GCA_001883825.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/001/883/825/GCA_001883825.1/genes/GCA_001883825.1_Emmo_past_UAMH9510_V1.augustus.gtf.gz
5z489	1972497	GCA_002110485.1	True	Contig		35498521				410.0x	45.5			Emergomyces orientalis	1972497	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,299071,1955773,1972497	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Emergomyces	Emergomyces orientalis		https://genome.ucsc.edu/h/GCA_002110485.1	GCA_002110485.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/002/110/485/GCA_002110485.1/genes/GCA_002110485.1_ASM211048v1.augustus.gtf.gz
ARSEF 549	3151832	GCA_000814975.1	True	Scaffold		38504274	74.0	2048875.0	6.0	98.3x	51.0			Metarhizium hybridum	3151832	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,34397,5529,3151832	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium hybridum		https://genome.ucsc.edu/h/GCA_000814975.1	GCA_000814975.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/814/975/GCA_000814975.1/genes/GCA_000814975.1_MAN_1.0.augustus.gtf.gz
JCM 9937	82521	GCA_001598995.1	True	Scaffold		24872216	61.0	1972470.0	5.0	258.0x	58.5			Apiotrichum montevideense	82521	1,131567,2759,33154,4751,451864,5204,5302,155616,1851469,1759442,105983,82521	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum montevideense		https://genome.ucsc.edu/h/GCA_001598995.1	GCA_001598995.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/001/598/995/GCA_001598995.1/genes/GCA_001598995.1_JCM_9937_assembly_v001.augustus.gtf.gz
CBS 136260	1955775	GCA_001660665.1	True	Scaffold		29708924	4444.0	13755.0	591.0	29.4x	43.5			Emergomyces africanus	1955775	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,299071,1955773,1955775	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Emergomyces	Emergomyces africanus		https://genome.ucsc.edu/h/GCA_001660665.1	GCA_001660665.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/001/660/665/GCA_001660665.1/genes/GCA_001660665.1_Emmo_afri_EA111.augustus.gtf.gz
	37546	GCA_001077435.1	True	Contig		363107242					34.0			Glossina morsitans	7394	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7203,43733,480118,480117,43738,43742,43753,7392,7393,44049,7394,37546	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Glossinidae	Glossina	Glossina morsitans		https://genome.ucsc.edu/h/GCA_001077435.1	GCA_001077435.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/001/077/435/GCA_001077435.1/genes/GCA_001077435.1_ASM107743v1.augustus.gtf.gz
ITEM 5010	602072	GCA_001990825.1	True	Scaffold		36149134	829.0	1827541.0	8.0	17.8x	51.5			Aspergillus carbonarius	40993	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,5042,1131492,5052,2720871,40993,602072	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus carbonarius	Aspergillus carbonarius ITEM 5010	https://genome.ucsc.edu/h/GCA_001990825.1	GCA_001990825.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/001/990/825/GCA_001990825.1/genes/GCA_001990825.1_Aspca3.augustus.gtf.gz
AMFP13	1357716	GCA_002006685.2	True	Contig		73346731				76.9x	43.0			Batrachochytrium salamandrivorans	1357716	1,131567,2759,33154,4751,112252,4761,2683659,451435,451442,1142503,100474,1357716	Chytridiomycota	Eukaryota		Fungi	Chytridiomycota	Chytridiomycetes	Rhizophydiales		Batrachochytrium	Batrachochytrium salamandrivorans		https://genome.ucsc.edu/h/GCA_002006685.2	GCA_002006685.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/002/006/685/GCA_002006685.2/genes/GCA_002006685.2_Batr_sala_V2.augustus.gtf.gz
SN3	42890	GCA_000727475.1	True	Scaffold		124404968	871.0	3345923.0	12.0	24.0x	51.5			Sarcocystis neurona	42890	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,5809,5812,42890	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Sarcocystis	Sarcocystis neurona		https://genome.ucsc.edu/h/GCA_000727475.1	GCA_000727475.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/727/475/GCA_000727475.1/genes/GCA_000727475.1_ASM72747v1.augustus.gtf.gz
species A-37_1	139723	GCA_000473375.1	True	Scaffold		202998806	16162.0	22320.0	2479.0	31.0x	42.5			Anopheles culicifacies	139723	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7148,43786,41827,7157,43816,7164,44534,59140,63408,139723	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles culicifacies		https://genome.ucsc.edu/h/GCA_000473375.1	GCA_000473375.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/473/375/GCA_000473375.1/genes/GCA_000473375.1_Anop_culi_species_A-37_1_V1.augustus.gtf.gz
ARSEF 7405	392613	GCA_001636715.1	True	Scaffold		20313079	82.0	482601.0	13.0	100.9x	47.5			Ascosphaera apis	5105	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,5103,5104,5105,392613	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ascosphaeraceae	Ascosphaera	Ascosphaera apis	Ascosphaera apis ARSEF 7405	https://genome.ucsc.edu/h/GCA_001636715.1	GCA_001636715.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/001/636/715/GCA_001636715.1/genes/GCA_001636715.1_AAP_1.0.augustus.gtf.gz
Rouen 1987	32595	GCA_001077455.2	True	Scaffold		9725408	141.0	1079886.0	4.0	353.0x	45.5			Babesia divergens	32595	1,131567,2759,2698737,33630,5794,422676,5863,32594,5864,32595	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Piroplasmida	Babesiidae	Babesia	Babesia divergens		https://genome.ucsc.edu/h/GCA_001077455.2	GCA_001077455.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/001/077/455/GCA_001077455.2/genes/GCA_001077455.2_ASM107745v2.augustus.gtf.gz
ATCC 30220	5684	GCA_001299535.1	True	Scaffold		27764161	1216.0	70648.0	121.0	180.0x	55.5			Leptomonas seymouri	5684	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,1286322,5683,5684	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leptomonas	Leptomonas seymouri		https://genome.ucsc.edu/h/GCA_001299535.1	GCA_001299535.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/001/299/535/GCA_001299535.1/genes/GCA_001299535.1_ASM129953v1.augustus.gtf.gz
	67801	GCA_000818775.1	True	Scaffold		380104241	3926.0	575037.0	187.0	138.0x	33.5			Glossina palpalis	7397	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7203,43733,480118,480117,43738,43742,43753,7392,7393,44051,7397,67801	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Glossinidae	Glossina	Glossina palpalis		https://genome.ucsc.edu/h/GCA_000818775.1	GCA_000818775.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/818/775/GCA_000818775.1/genes/GCA_000818775.1_Glossina_palpalis_gambiensis-2.0.1.augustus.gtf.gz
	7398	GCA_000688715.1	True	Scaffold		357332231	1726.0	1038751.0	95.0	78.0x	34.0			Glossina pallidipes	7398	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7203,43733,480118,480117,43738,43742,43753,7392,7393,44049,7398	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Glossinidae	Glossina	Glossina pallidipes		https://genome.ucsc.edu/h/GCA_000688715.1	GCA_000688715.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/688/715/GCA_000688715.1/genes/GCA_000688715.1_Glossina_pallidipes-1.0.3.augustus.gtf.gz
FAR1	69004	GCA_000473445.2	True	Scaffold		183103254	310.0	12895223.0	5.0	233.0x	44.5			Anopheles farauti	69004	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7148,43786,41827,7157,43816,7164,44534,44536,44541,69004	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles farauti		https://genome.ucsc.edu/h/GCA_000473445.2	GCA_000473445.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/473/445/GCA_000473445.2/genes/GCA_000473445.2_Anop_fara_FAR1_V2.augustus.gtf.gz
	1169540	GCA_001179505.1	True	Scaffold		72700666	1064.0	147631.0	144.0	100.0x	58.0			Vitrella brassicaformis	1169539	1,131567,2759,2698737,33630,877183,2605696,1169538,1169539,1169540		Eukaryota						Vitrellaceae	Vitrella	Vitrella brassicaformis	Vitrella brassicaformis CCMP3155	https://genome.ucsc.edu/h/GCA_001179505.1	GCA_001179505.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/001/179/505/GCA_001179505.1/genes/GCA_001179505.1_Vbrassicaformis.augustus.gtf.gz
CM1001059_A	34690	GCA_000473525.2	True	Scaffold		224162116	20229.0	18103.0	3627.0	147.0x	45.0			Anopheles melas	34690	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7148,43786,41827,7157,43816,7164,44534,44537,44542,34690	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles melas		https://genome.ucsc.edu/h/GCA_000473525.2	GCA_000473525.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/473/525/GCA_000473525.2/genes/GCA_000473525.2_Anop_mela_CM1001059_A_V2.augustus.gtf.gz
TAMU-09Q1	27987	GCA_001593455.1	True	Contig		8493640				70.1x	24.0			Cryptosporidium baileyi	27987	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,35082,5806,27987	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Cryptosporidiidae	Cryptosporidium	Cryptosporidium baileyi		https://genome.ucsc.edu/h/GCA_001593455.1	GCA_001593455.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/001/593/455/GCA_001593455.1/genes/GCA_001593455.1_CryBaiTAMU-09Q1-1.0.augustus.gtf.gz
	37001	GCA_000671755.1	True	Scaffold		315360362	1651.0	1209507.0	63.0	81.0x	31.0			Glossina brevipalpis	37001	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7203,43733,480118,480117,43738,43742,43753,7392,7393,44050,37001	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Glossinidae	Glossina	Glossina brevipalpis		https://genome.ucsc.edu/h/GCA_000671755.1	GCA_000671755.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/671/755/GCA_000671755.1/genes/GCA_000671755.1_Glossina_brevipalpis_1.0.3.augustus.gtf.gz
	7395	GCA_000688735.1	True	Scaffold		370264922	2205.0	812585.0	116.0	62.0x	34.0			Glossina austeni	7395	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7203,43733,480118,480117,43738,43742,43753,7392,7393,44049,7395	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Glossinidae	Glossina	Glossina austeni		https://genome.ucsc.edu/h/GCA_000688735.1	GCA_000688735.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/688/735/GCA_000688735.1/genes/GCA_000688735.1_Glossina_austeni-1.0.3.augustus.gtf.gz
Lake Konstanz	75058	GCA_001460835.1	True	Scaffold		39864394	2256.0	31876.0	365.0	170.0x	52.0			Bodo saltans	75058	1,131567,2759,2611352,33682,5653,2704647,2704650,5708,5712,75058	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Eubodonida	Bodonidae	Bodo	Bodo saltans		https://genome.ucsc.edu/h/GCA_001460835.1	GCA_001460835.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/001/460/835/GCA_001460835.1/genes/GCA_001460835.1_BSAL.augustus.gtf.gz
Houghton	51314	GCA_000499725.1	True	Scaffold		66890165	8575.0	33515.0	531.0	143.0x	48.0			Eimeria brunetti	51314	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,5799,5800,51314	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Eimeriidae	Eimeria	Eimeria brunetti		https://genome.ucsc.edu/h/GCA_000499725.1	GCA_000499725.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/499/725/GCA_000499725.1/genes/GCA_000499725.1_EBH001.augustus.gtf.gz
MK1	146866	GCA_001432165.1	True	Contig		5248409				138.0x	29.5			Pseudoloma neurophilia	146866	1,131567,2759,33154,4751,112252,6029,469895,146865,146866	Microsporidia	Eukaryota		Fungi	Microsporidia				Pseudoloma	Pseudoloma neurophilia		https://genome.ucsc.edu/h/GCA_001432165.1	GCA_001432165.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/001/432/165/GCA_001432165.1/genes/GCA_001432165.1_ASM143216v1.augustus.gtf.gz
	65658	GCA_000826245.1	True	Scaffold		83432518	98248.0	6445.0	3258.0		42.5			Acanthamoeba astronyxis	65658	1,131567,2759,554915,555280,1485168,555407,33677,5754,65658	Amoebozoa	Eukaryota			Discosea		Longamoebia	Acanthamoebidae	Acanthamoeba	Acanthamoeba astronyxis		https://genome.ucsc.edu/h/GCA_000826245.1	GCA_000826245.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/826/245/GCA_000826245.1/genes/GCA_000826245.1_Acanthamoeba_astronyxis.augustus.gtf.gz
GB1	1081669	GCA_002087885.1	True	Scaffold		4570278	1300.0	16672.0	78.0	4478.0x	22.5			Hepatospora eriocheir	1081669	1,131567,2759,33154,4751,112252,6029,6032,3075347,1081667,1081669	Microsporidia	Eukaryota		Fungi	Microsporidia			Hepatosporidae	Hepatospora	Hepatospora eriocheir		https://genome.ucsc.edu/h/GCA_002087885.1	GCA_002087885.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/002/087/885/GCA_002087885.1/genes/GCA_002087885.1_ASM208788v1.augustus.gtf.gz
