Organism	Genome Source	Genome Version/Assembly ID	Is Reference Strain	Contigs	Supercontigs	Chromosomes	Species	Strain	VEuPathDB Project	taxId	asmId	genBank	refSeq	identical	sciName	comName	ucscBrowser	geneModelUrl
Trypanosoma cruzi strain CL Brener	GenBank	GCA_000209065.1	no	29407	0	0	Trypanosoma cruzi	strain CL Brener	TriTrypDB	5693	GCF_000209065.1_ASM20906v1	GCA_000209065.1	GCF_000209065.1	True	Trypanosoma cruzi	Trypanosoma cruzi (CL Brener 2005 kinetoplastids)	https://genome.ucsc.edu/h/GCF_000209065.1	
Theileria annulata strain Ankara	GenBank	GCA_000003225.1	yes	0	0	4	Theileria annulata	strain Ankara	PiroplasmaDB	5874	GCA_000003225.1_ASM322v1	GCA_000003225.1	GCF_000003225.2	False	Theileria annulata	apicomplexans T.annulata (Ankara isolate clone C9 2005)	https://genome.ucsc.edu/h/GCA_000003225.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/003/225/GCA_000003225.1/genes/GCA_000003225.1_ASM322v1.augustus.gtf.gz
Plasmodium falciparum 3D7	GenBank	GCA_000002765.3	yes	0	0	14	Plasmodium falciparum	3D7	PlasmoDB	36329	GCF_000002765.5_GCA_000002765	GCA_000002765.3	GCF_000002765.5	False	Plasmodium falciparum 3D7	malaria parasite P. falciparum (3D7 2016 refseq)	https://genome.ucsc.edu/h/GCF_000002765.5	
Trypanosoma cruzi strain Esmeraldo	GenBank	GCA_000327425.1	no	15007	796	0	Trypanosoma cruzi	strain Esmeraldo	TriTrypDB	366581	GCA_000327425.1_Trypanosoma_cruzi-5.1.3	GCA_000327425.1		False	Trypanosoma cruzi strain Esmeraldo	Trypanosoma cruzi strain (Esmeraldo cl. 3 2013)	https://genome.ucsc.edu/h/GCA_000327425.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/327/425/GCA_000327425.1/genes/GCA_000327425.1_Trypanosoma_cruzi-5.1.3.augustus.gtf.gz
Neurospora crassa OR74A	GenBank	GCA_000182925.2	yes	0	13	7	Neurospora crassa	OR74A	FungiDB	367110	GCF_000182925.2_NC12	GCA_000182925.2	GCF_000182925.2	True	Neurospora crassa OR74A	ascomycetes N.crassa OR74A	https://genome.ucsc.edu/h/GCF_000182925.2	
Cryptococcus gattii WM276	GenBank	GCA_000185945.1	yes	0	0	14	Cryptococcus gattii VGI	WM276	FungiDB	367775	GCF_000185945.1_ASM18594v1	GCA_000185945.1	GCF_000185945.1	True	Cryptococcus gattii WM276	basidiomycetes C.gattii WM276	https://genome.ucsc.edu/h/GCF_000185945.1	
Entamoeba dispar SAW760	GenBank	GCA_000209125.2	yes	0	3312	0	Entamoeba dispar	SAW760	AmoebaDB	370354	GCF_000209125.1_JCVI_EDISG_1.0	GCA_000209125.2	GCF_000209125.1	True	Entamoeba dispar SAW760	E.dispar (SAW760 2008)	https://genome.ucsc.edu/h/GCF_000209125.1	
Entamoeba invadens IP1	GenBank	GCA_000330505.1	yes	0	1144	0	Entamoeba invadens	IP1	AmoebaDB	370355	GCF_000330505.1_EIA2_v2	GCA_000330505.1	GCF_000330505.1	True	Entamoeba invadens IP1	E.invadens (IP1 2013)	https://genome.ucsc.edu/h/GCF_000330505.1	
Lodderomyces elongisporus NRRL YB-4239	INSDC	GCA_000149685.1	yes	0	27	0	Lodderomyces elongisporus	NRRL YB-4239	FungiDB	379508	GCF_000149685.1_ASM14968v1	GCA_000149685.1	GCF_000149685.1	True	Lodderomyces elongisporus NRRL YB-4239	budding yeast L.elongisporus (NRRL YB-4239 2007 refseq)	https://genome.ucsc.edu/h/GCF_000149685.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/149/685/GCA_000149685.1/genes/GCA_000149685.1_ASM14968v1.augustus.gtf.gz
Aspergillus niger ATCC 1015	GenBank	GCA_000230395.2	no	0	24	0	Aspergillus niger	ATCC 1015	FungiDB	380704	GCA_000230395.2_ASPNI_v3.0	GCA_000230395.2		False	Aspergillus niger ATCC 1015	ascomycetes A.niger (ATCC 1015 2011)	https://genome.ucsc.edu/h/GCA_000230395.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/230/395/GCA_000230395.2/genes/GCA_000230395.2_ASPNI_v3.0.augustus.gtf.gz
Pseudocercospora fijiensis CIRAD86	INSDC	GCA_000340215.1	yes	0	56	0	Pseudocercospora fijiensis	CIRAD86	FungiDB	383855	GCF_000340215.1_Mycfi2	GCA_000340215.1	GCF_000340215.1	True	Pseudocercospora fijiensis CIRAD86	ascomycetes P.fijiensis CIRAD86	https://genome.ucsc.edu/h/GCF_000340215.1	
Ascosphaera apis ARSEF 7405	INSDC	GCA_001636715.1	yes	0	82	0	Ascosphaera apis	ARSEF 7405	FungiDB	392613	GCA_001636715.1_AAP_1.0	GCA_001636715.1		False	Ascosphaera apis ARSEF 7405	ascomycetes A.apis (ARSEF 7405 2016)	https://genome.ucsc.edu/h/GCA_001636715.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/636/715/GCA_001636715.1/genes/GCA_001636715.1_AAP_1.0.augustus.gtf.gz
Coccidioides immitis H538.4	GenBank	GCA_000149815.1	no	0	553	0	Coccidioides immitis	H538.4	FungiDB	396776	GCA_000149815.1_ASM14981v1	GCA_000149815.1		False	Coccidioides immitis H538.4	ascomycetes C.immitis (H538.4 2006)	https://genome.ucsc.edu/h/GCA_000149815.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/149/815/GCA_000149815.1/genes/GCA_000149815.1_ASM14981v1.augustus.gtf.gz
Schizosaccharomyces japonicus yFS275	GenBank	GCA_000149845.2	yes	0	32	0	Schizosaccharomyces japonicus	yFS275	FungiDB	402676	GCF_000149845.2_SJ5	GCA_000149845.2	GCF_000149845.2	True	Schizosaccharomyces japonicus yFS275	ascomycetes S.japonicus yFS275	https://genome.ucsc.edu/h/GCF_000149845.2	
Batrachochytrium dendrobatidis JEL423	GenBank	GCA_000149865.1	yes	0	69	0	Batrachochytrium dendrobatidis	JEL423	FungiDB	403673	GCA_000149865.1_BD_JEL423	GCA_000149865.1		False	Batrachochytrium dendrobatidis JEL423	chytrids B.dendrobatidis (JEL423 2006)	https://genome.ucsc.edu/h/GCA_000149865.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/149/865/GCA_000149865.1/genes/GCA_000149865.1_BD_JEL423.augustus.gtf.gz
Phytophthora infestans T30-4	GenBank	GCA_000142945.1	yes	0	4921	0	Phytophthora infestans	T30-4	FungiDB	403677	GCF_000142945.1_ASM14294v1	GCA_000142945.1	GCF_000142945.1	True	Phytophthora infestans T30-4	potato late blight agent (T30-4 2009)	https://genome.ucsc.edu/h/GCF_000142945.1	
Coccidioides immitis RMSCC 2394	GenBank	GCA_000149895.1	no	0	23	0	Coccidioides immitis	RMSCC 2394	FungiDB	404692	GCA_000149895.1_ASM14989v1	GCA_000149895.1		False	Coccidioides immitis RMSCC 2394	ascomycetes C.immitis (RMSCC 2394 2006)	https://genome.ucsc.edu/h/GCA_000149895.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/149/895/GCA_000149895.1/genes/GCA_000149895.1_ASM14989v1.augustus.gtf.gz
Trichomonas vaginalis G3	GenBank	GCA_000002825.1	no	0	64764	0	Trichomonas vaginalis	G3	TrichDB	412133	GCF_000002825.2_ASM282v1	GCA_000002825.1	GCF_000002825.2	True	Trichomonas vaginalis G3	trichomonads (G3; ATCC PRA-98 2007)	https://genome.ucsc.edu/h/GCF_000002825.2	
Trichoderma virens Gv29-8	GenBank	GCA_000170995.2	yes	93	0	0	Trichoderma virens	Gv29-8	FungiDB	413071	GCF_000170995.1_TRIVI_v2.0	GCA_000170995.2	GCF_000170995.1	True	Trichoderma virens Gv29-8	ascomycetes T.virens Gv29-8	https://genome.ucsc.edu/h/GCF_000170995.1	
Eimeria tenella strain Houghton	GenBank	GCA_000499545.1	no	0	4664	0	Eimeria tenella	strain Houghton	ToxoDB	5802	GCF_000499545.1_ETH001	GCA_000499545.1	GCF_000499545.1	True	Eimeria tenella	apicomplexans E.tenella (Houghton 2013)	https://genome.ucsc.edu/h/GCF_000499545.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/499/545/GCA_000499545.1/genes/GCA_000499545.1_ETH001.augustus.gtf.gz
Puccinia graminis f. sp. tritici CRL 75-36-700-3	GenBank	GCA_000149925.1	yes	0	392	0	Puccinia graminis	f. sp. tritici CRL 75-36-700-3	FungiDB	418459	GCF_000149925.1_ASM14992v1	GCA_000149925.1	GCF_000149925.1	True	Puccinia graminis f. sp. tritici CRL 75-36-700-3	rust fungi P.graminis f. sp. tritici CRL 75-36-700-3	https://genome.ucsc.edu/h/GCF_000149925.1	
Leishmania braziliensis MHOM/BR/75/M2904	GenBank	GCA_000002845.2	yes	103	0	36	Leishmania braziliensis	MHOM/BR/75/M2904	TriTrypDB	420245	GCF_000002845.2_ASM284v2	GCA_000002845.2	GCF_000002845.2	True	Leishmania braziliensis MHOM/BR/75/M2904	Leishmania braziliensis (MHOM/BR/75/M2904 2011 kinetoplastids)	https://genome.ucsc.edu/h/GCF_000002845.2	
Aspergillus niger CBS 513.88	GenBank	GCA_000002855.2	yes	0	19	0	Aspergillus niger	CBS 513.88	FungiDB	5061	GCF_000002855.4_ASM285v2	GCA_000002855.2	GCF_000002855.4	True	Aspergillus niger	ascomycetes A.niger (v4 2007)	https://genome.ucsc.edu/h/GCF_000002855.4	
Malassezia restricta CBS 7877	INSDC	GCA_003691605.1	no	0	0	9	Malassezia restricta	CBS 7877	FungiDB	425264	GCA_003691605.1_ASM369160v1	GCA_003691605.1		False	Malassezia restricta CBS 7877	basidiomycetes M.restricta (CBS 7877 2018)	https://genome.ucsc.edu/h/GCA_003691605.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/003/691/605/GCA_003691605.1/genes/GCA_003691605.1_ASM369160v1.augustus.gtf.gz
Fusarium oxysporum f. sp. lycopersici 4287	GenBank	GCA_000149955.2	yes	0	70	15	Fusarium oxysporum	f. sp. lycopersici 4287	FungiDB	426428	GCF_000149955.1_ASM14995v2	GCA_000149955.2	GCF_000149955.1	False	Fusarium oxysporum f. sp. lycopersici 4287	ascomycetes F.oxysporum (f. sp. lycopersici 4287 2015)	https://genome.ucsc.edu/h/GCF_000149955.1	
Trypanosoma rangeli SC58	GenBank	GCA_000492115.1	yes	7433	0	0	Trypanosoma rangeli	SC58	TriTrypDB	429131	GCA_000492115.1_T_rangeli_SC58v1	GCA_000492115.1		False	Trypanosoma rangeli SC58	Trypanosoma rangeli (SC58 2013)	https://genome.ucsc.edu/h/GCA_000492115.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/492/115/GCA_000492115.1/genes/GCA_000492115.1_T_rangeli_SC58v1.augustus.gtf.gz
Trichoderma reesei QM6a	GenBank	GCA_000167675.2	yes	0	77	0	Trichoderma reesei	QM6a	FungiDB	431241	GCF_000167675.1_v2.0	GCA_000167675.2	GCF_000167675.1	True	Trichoderma reesei QM6a	ascomycetes T.reesei QM6a	https://genome.ucsc.edu/h/GCF_000167675.1	
Globisporangium ultimum DAOM BR144	GenBank	GCA_000143045.1	yes	0	975	0	Globisporangium ultimum	DAOM BR144	FungiDB	431595	GCA_000143045.1_pug	GCA_000143045.1		False	Globisporangium ultimum DAOM BR144	oomycetes (DAOM BR144 2010)	https://genome.ucsc.edu/h/GCA_000143045.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/143/045/GCA_000143045.1/genes/GCA_000143045.1_pug.augustus.gtf.gz
Toxoplasma gondii VEG	GenBank	GCA_000150015.2	no	0	1290	14	Toxoplasma gondii	VEG	ToxoDB	432359	GCA_000150015.2_TGVEG	GCA_000150015.2		False	Toxoplasma gondii VEG	apicomplexans T.gondii (VEG 2013)	https://genome.ucsc.edu/h/GCA_000150015.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/015/GCA_000150015.2/genes/GCA_000150015.2_TGVEG.augustus.gtf.gz
Leishmania infantum JPCM5	GenBank	GCA_900500625.2	yes	0	0	36	Leishmania infantum	JPCM5	TriTrypDB	5671	GCA_900500625.2_LINF	GCA_900500625.2		False	Leishmania infantum	Leishmania infantum (2020)	https://genome.ucsc.edu/h/GCA_900500625.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/500/625/GCA_900500625.2/genes/GCA_900500625.2_LINF.augustus.gtf.gz
Cryptosporidium muris RN66	GenBank	GCF_000006515.1	yes	0	84	0	Cryptosporidium muris	RN66	CryptoDB	441375	GCF_000006515.1_JCVI_cmg_v1.0	GCA_000006515.1	GCF_000006515.1	True	Cryptosporidium muris RN66	apicomplexans C.muris (RN66 2008)	https://genome.ucsc.edu/h/GCF_000006515.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/000/006/515/GCF_000006515.1/genes/GCF_000006515.1_JCVI_cmg_v1.0.ncbiRefSeq.gtf.gz
Talaromyces stipitatus ATCC 10500	GenBank	GCA_000003125.1	yes	0	820	0	Talaromyces stipitatus	ATCC 10500	FungiDB	441959	GCF_000003125.1_JCVI-TSTA1-3.0	GCA_000003125.1	GCF_000003125.1	True	Talaromyces stipitatus ATCC 10500	ascomycetes T.stipitatus ATCC 10500	https://genome.ucsc.edu/h/GCF_000003125.1	
Talaromyces marneffei ATCC 18224	GenBank	GCA_000001985.1	yes	0	452	0	Talaromyces marneffei	ATCC 18224	FungiDB	441960	GCF_000001985.1_JCVI-PMFA1-2.0	GCA_000001985.1	GCF_000001985.1	True	Talaromyces marneffei ATCC 18224	ascomycetes T.marneffei (ATCC 18224 2008 refseq)	https://genome.ucsc.edu/h/GCF_000001985.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/001/985/GCA_000001985.1/genes/GCA_000001985.1_JCVI-PMFA1-2.0.augustus.gtf.gz
Coccidioides posadasii str. Silveira	GenBank	GCA_000170175.2	yes	0	54	0	Coccidioides posadasii	str. Silveira	FungiDB	443226	GCA_000170175.2_CPS2	GCA_000170175.2		False	Coccidioides posadasii str. Silveira	ascomycetes C.Silveira (Silveira 2011)	https://genome.ucsc.edu/h/GCA_000170175.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/170/175/GCA_000170175.2/genes/GCA_000170175.2_CPS2.augustus.gtf.gz
Histoplasma capsulatum G186AR	GenBank	GCA_017355575.1	no	0	0	6	Histoplasma capsulatum	G186AR	FungiDB	447093	GCA_017355575.1_ASM1735557v1	GCA_017355575.1		False	Histoplasma capsulatum G186AR	ascomycetes H.capsulatum (G186AR 2021)	https://genome.ucsc.edu/h/GCA_017355575.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/017/355/575/GCA_017355575.1/genes/GCA_017355575.1_ASM1735557v1.augustus.gtf.gz
Histoplasma capsulatum G217B	GenBank	GCA_017607445.1	yes	0	11	0	Histoplasma capsulatum	G217B	FungiDB	2902605	GCA_017607445.1_ASM1760744v1	GCA_017607445.1		False	Histoplasma ohiense	ascomycetes H.ohiense (G217B 2021)	https://genome.ucsc.edu/h/GCA_017607445.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/017/607/445/GCA_017607445.1/genes/GCA_017607445.1_ASM1760744v1.augustus.gtf.gz
Blastomyces dermatitidis ATCC 26199	INSDC	GCA_000166155.1	no	0	3282	0	Blastomyces dermatitidis	ATCC 26199	FungiDB	447095	GCA_000166155.1_BD_ATCC26199_V2	GCA_000166155.1		False	Blastomyces dermatitidis ATCC 26199	ascomycetes B.dermatitidis (ATCC 26199 2010)	https://genome.ucsc.edu/h/GCA_000166155.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/166/155/GCA_000166155.1/genes/GCA_000166155.1_BD_ATCC26199_V2.augustus.gtf.gz
Aspergillus fumigatus A1163	GenBank	GCA_000150145.1	no	0	55	0	Aspergillus fumigatus	A1163	FungiDB	451804	GCA_000150145.1_ASM15014v1	GCA_000150145.1		False	Aspergillus fumigatus A1163	ascomycetes A.fumigatus (A1163 2007)	https://genome.ucsc.edu/h/GCA_000150145.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/145/GCA_000150145.1/genes/GCA_000150145.1_ASM15014v1.augustus.gtf.gz
Coccidioides posadasii RMSCC 3488	GenBank	GCA_000150055.1	no	0	6	0	Coccidioides posadasii	RMSCC 3488	FungiDB	454284	GCA_000150055.1_ASM15005v1	GCA_000150055.1		False	Coccidioides posadasii RMSCC 3488	ascomycetes C.posadasii (RMSCC 3488 2007)	https://genome.ucsc.edu/h/GCA_000150055.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/055/GCA_000150055.1/genes/GCA_000150055.1_ASM15005v1.augustus.gtf.gz
Coccidioides immitis RMSCC 3703	GenBank	GCA_000150085.1	no	0	286	0	Coccidioides immitis	RMSCC 3703	FungiDB	454286	GCA_000150085.1_ASM15008v1	GCA_000150085.1		False	Coccidioides immitis RMSCC 3703	ascomycetes C.immitis (RMSCC 3703 2007)	https://genome.ucsc.edu/h/GCA_000150085.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/085/GCA_000150085.1/genes/GCA_000150085.1_ASM15008v1.augustus.gtf.gz
Coccidioides posadasii RMSCC 2133	GenBank	GCA_000150185.1	no	0	53	0	Coccidioides posadasii	RMSCC 2133	FungiDB	469470	GCA_000150185.1_ASM15018v1	GCA_000150185.1		False	Coccidioides posadasii RMSCC 2133	ascomycetes C.posadasii (RMSCC 2133 2007)	https://genome.ucsc.edu/h/GCA_000150185.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/185/GCA_000150185.1/genes/GCA_000150185.1_ASM15018v1.augustus.gtf.gz
Coccidioides posadasii RMSCC 3700	GenBank	GCA_000150215.1	no	0	241	0	Coccidioides posadasii	RMSCC 3700	FungiDB	469471	GCA_000150215.1_ASM15021v1	GCA_000150215.1		False	Coccidioides posadasii RMSCC 3700	ascomycetes C.posadasii (RMSCC 3700 2007)	https://genome.ucsc.edu/h/GCA_000150215.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/215/GCA_000150215.1/genes/GCA_000150215.1_ASM15021v1.augustus.gtf.gz
Coccidioides posadasii CPA 0001	GenBank	GCA_000150245.1	no	0	255	0	Coccidioides posadasii	CPA 0001	FungiDB	469472	GCA_000150245.1_ASM15024v1	GCA_000150245.1		False	Coccidioides posadasii CPA 0001	ascomycetes C.posadasii (CPA 0001 2007)	https://genome.ucsc.edu/h/GCA_000150245.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/245/GCA_000150245.1/genes/GCA_000150245.1_ASM15024v1.augustus.gtf.gz
Enterocytozoon bieneusi H348	GenBank	GCA_000209485.1	yes	1730	3	0	Enterocytozoon bieneusi	H348	MicrosporidiaDB	481877	GCF_000209485.1_ASM20948v1	GCA_000209485.1	GCF_000209485.1	True	Enterocytozoon bieneusi H348	microsporidians E.bieneusi (H348 2009)	https://genome.ucsc.edu/h/GCF_000209485.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/209/485/GCA_000209485.1/genes/GCA_000209485.1_ASM20948v1.augustus.gtf.gz
Paracoccidioides brasiliensis Pb03	GenBank	GCA_000150475.2	yes	0	65	0	Paracoccidioides brasiliensis	Pb03	FungiDB	482561	GCA_000150475.2_Paracocci_br_Pb03_V2	GCA_000150475.2		False	Paracoccidioides brasiliensis Pb03	ascomycetes P.brasiliensis (Pb03 2014)	https://genome.ucsc.edu/h/GCA_000150475.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/475/GCA_000150475.2/genes/GCA_000150475.2_Paracocci_br_Pb03_V2.augustus.gtf.gz
Schizosaccharomyces octosporus yFS286	GenBank	GCA_000150505.2	yes	0	5	0	Schizosaccharomyces octosporus	yFS286	FungiDB	483514	GCF_000150505.1_SO6	GCA_000150505.2	GCF_000150505.1	True	Schizosaccharomyces octosporus yFS286	ascomycetes S.octosporus yFS286	https://genome.ucsc.edu/h/GCF_000150505.1	
Babesia bovis T2Bo	GenBank	GCA_000165395.2	yes	0	3	3	Babesia bovis	T2Bo	PiroplasmaDB	484906	GCF_000165395.2_ASM16539v2	GCA_000165395.2	GCF_000165395.2	False	Babesia bovis T2Bo	apicomplexans B.bovis (T2Bo 2021)	https://genome.ucsc.edu/h/GCF_000165395.2	
Coccidioides posadasii RMSCC 1037	GenBank	GCA_000150555.1	no	0	633	0	Coccidioides posadasii	RMSCC 1037	FungiDB	490065	GCA_000150555.1_ASM15055v1	GCA_000150555.1		False	Coccidioides posadasii RMSCC 1037	ascomycetes C.posadasii (RMSCC 1037 2008)	https://genome.ucsc.edu/h/GCA_000150555.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/555/GCA_000150555.1/genes/GCA_000150555.1_ASM15055v1.augustus.gtf.gz
Coccidioides posadasii RMSCC 1038	GenBank	GCA_000150585.1	no	0	551	0	Coccidioides posadasii	RMSCC 1038	FungiDB	490066	GCA_000150585.1_ASM15058v1	GCA_000150585.1		False	Coccidioides posadasii RMSCC 1038	ascomycetes C.posadasii (RMSCC 1038 2008)	https://genome.ucsc.edu/h/GCA_000150585.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/585/GCA_000150585.1/genes/GCA_000150585.1_ASM15058v1.augustus.gtf.gz
Coccidioides posadasii CPA 0020	GenBank	GCA_000150615.1	no	0	620	0	Coccidioides posadasii	CPA 0020	FungiDB	490068	GCA_000150615.1_ASM15061v1	GCA_000150615.1		False	Coccidioides posadasii CPA 0020	ascomycetes C.posadasii (CPA 0020 2008)	https://genome.ucsc.edu/h/GCA_000150615.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/615/GCA_000150615.1/genes/GCA_000150615.1_ASM15061v1.augustus.gtf.gz
Coccidioides posadasii CPA 0066	GenBank	GCA_000150645.1	no	0	473	0	Coccidioides posadasii	CPA 0066	FungiDB	490069	GCA_000150645.1_ASM15064v1	GCA_000150645.1		False	Coccidioides posadasii CPA 0066	ascomycetes C.posadasii (CPA 0066 2008)	https://genome.ucsc.edu/h/GCA_000150645.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/645/GCA_000150645.1/genes/GCA_000150645.1_ASM15064v1.augustus.gtf.gz
Penicillium rubens Wisconsin 54-1255	GenBank	GCA_000226395.1	yes	0	49	0	Penicillium rubens	Wisconsin 54-1255	FungiDB	500485	GCF_000226395.1_PenChr_Nov2007	GCA_000226395.1	GCF_000226395.1	True	Penicillium rubens Wisconsin 54-1255	ascomycetes P.rubens (Wisconsin 54-1255 2008 refseq)	https://genome.ucsc.edu/h/GCF_000226395.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/226/395/GCA_000226395.1/genes/GCA_000226395.1_PenChr_Nov2007.augustus.gtf.gz
Paracoccidioides lutzii Pb01	GenBank	GCA_000150705.2	yes	0	110	0	Paracoccidioides lutzii	Pb01	FungiDB	502779	GCF_000150705.2_Paracocci_br_Pb01_V2	GCA_000150705.2	GCF_000150705.2	True	Paracoccidioides lutzii Pb01	ascomycetes P.lutzii Pb01	https://genome.ucsc.edu/h/GCF_000150705.2	
Paracoccidioides brasiliensis Pb18	GenBank	GCA_000150735.2	no	0	57	0	Paracoccidioides brasiliensis	Pb18	FungiDB	502780	GCF_000150735.1_Paracocci_br_Pb18_V2	GCA_000150735.2	GCF_000150735.1	True	Paracoccidioides brasiliensis Pb18	ascomycetes P.brasiliensis Pb18	https://genome.ucsc.edu/h/GCF_000150735.1	
Toxoplasma gondii GT1	GenBank	GCA_000149715.2	no	2034	0	14	Toxoplasma gondii	GT1	ToxoDB	507601	GCA_000149715.2_TGGT1	GCA_000149715.2		False	Toxoplasma gondii GT1	apicomplexans T.gondii (GT1 2013)	https://genome.ucsc.edu/h/GCA_000149715.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/149/715/GCA_000149715.2/genes/GCA_000149715.2_TGGT1.augustus.gtf.gz
Toxoplasma gondii ME49	GenBank	GCF_000006565.2	yes	0	2248	14	Toxoplasma gondii	ME49	ToxoDB	508771	GCF_000006565.2_TGA4	GCA_000006565.2	GCF_000006565.2	False	Toxoplasma gondii ME49	Toxoplasma gondii (ME49 2013)	https://genome.ucsc.edu/h/GCF_000006565.2	https://hgdownload.soe.ucsc.edu/hubs/GCF/000/006/565/GCF_000006565.2/genes/GCF_000006565.2_TGA4.ncbiRefSeq.gtf.gz
Aspergillus oryzae RIB40	GenBank	GCA_000184455.3	yes	3	0	8	Aspergillus oryzae	RIB40	FungiDB	510516	GCF_000184455.2_ASM18445v3	GCA_000184455.3	GCF_000184455.2	True	Aspergillus oryzae RIB40	ascomycetes A.oryzae RIB40	https://genome.ucsc.edu/h/GCF_000184455.2	
Neurospora tetrasperma FGSC 2508	GenBank	GCA_000213175.1	yes	0	81	0	Neurospora tetrasperma	FGSC 2508	FungiDB	510951	GCF_000213175.1_v2.0	GCA_000213175.1	GCF_000213175.1	True	Neurospora tetrasperma FGSC 2508	ascomycetes N.tetrasperma FGSC 2508	https://genome.ucsc.edu/h/GCF_000213175.1	
Podospora anserina S mat+	INSDC	GCA_000226545.1	yes	0	33	0	Podospora anserina	S mat+	FungiDB	515849	GCF_000226545.1_ASM22654v1	GCA_000226545.1	GCF_000226545.1	True	Podospora anserina S mat	ascomycetes P.anserina S mat+	https://genome.ucsc.edu/h/GCF_000226545.1	
Nannizzia gypsea CBS 118893	INSDC	GCA_000150975.2	yes	0	18	0	Nannizzia gypsea	CBS 118893	FungiDB	535722	GCF_000150975.2_MS_CBS118893	GCA_000150975.2	GCF_000150975.2	True	Nannizzia gypsea CBS 118893	ascomycetes N.gypsea CBS 118893	https://genome.ucsc.edu/h/GCF_000150975.2	
Histoplasma capsulatum H88	GenBank	GCA_017310615.1	no	0	0	6	Histoplasma capsulatum	H88	FungiDB	544711	GCA_017310615.1_ASM1731061v1	GCA_017310615.1		False	Histoplasma capsulatum var. duboisii H88	ascomycetes H.capsulatum var. duboisii (H88 2021)	https://genome.ucsc.edu/h/GCA_017310615.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/017/310/615/GCA_017310615.1/genes/GCA_017310615.1_ASM1731061v1.augustus.gtf.gz
Histoplasma capsulatum H143	GenBank	GCA_000151035.1	no	0	48	0	Histoplasma capsulatum	H143	FungiDB	544712	GCA_000151035.1_ASM15103v1	GCA_000151035.1		False	Histoplasma capsulatum H143	ascomycetes H.capsulatum (H143 2009)	https://genome.ucsc.edu/h/GCA_000151035.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/151/035/GCA_000151035.1/genes/GCA_000151035.1_ASM15103v1.augustus.gtf.gz
Microsporum canis CBS 113480	INSDC	GCA_000151145.1	yes	0	16	0	Microsporum canis	CBS 113480	FungiDB	554155	GCF_000151145.1_ASM15114v1	GCA_000151145.1	GCF_000151145.1	True	Microsporum canis CBS 113480	ascomycetes M.canis CBS 113480	https://genome.ucsc.edu/h/GCF_000151145.1	
Saccharomyces cerevisiae S288C	GenBank	GCA_000146045.2	yes	0	0	16	Saccharomyces cerevisiae	S288C	FungiDB	559292	GCF_000146045.2_R64	GCA_000146045.2	GCF_000146045.2	False	Saccharomyces cerevisiae S288C	baker's yeast S288C (2014)	https://genome.ucsc.edu/h/GCF_000146045.2	
Blastomyces dermatitidis ER-3	INSDC	GCA_000003525.2	yes	0	25	0	Blastomyces dermatitidis	ER-3	FungiDB	559297	GCF_000003525.1_BD_ER3_V1	GCA_000003525.2	GCF_000003525.1	True	Blastomyces dermatitidis ER-3	ascomycetes B.dermatitidis (ER-3 2009 refseq)	https://genome.ucsc.edu/h/GCF_000003525.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/003/525/GCA_000003525.2/genes/GCA_000003525.2_BD_ER3_V1.augustus.gtf.gz
